iter	RMSE
0	2.916599255
1	2.902702703
2	2.891995586
3	2.876250627
4	2.866965641
5	2.854816736
6	2.841949425
7	2.833535125
8	2.821651002
9	2.816826273
10	2.808304859
11	2.801431245
12	2.79249326
13	2.786824979
14	2.779715376
15	2.77299392
16	2.763307229
17	2.753587445
18	2.74693581
19	2.745444437
20	2.745103634
21	2.743487667
22	2.731767244
23	2.72025596
24	2.714475389
25	2.707068757
26	2.700032328
27	2.695547477
28	2.69231207
29	2.689342583
30	2.683980656
31	2.678459286
32	2.675495166
33	2.669576939
34	2.668550653
35	2.661202878
36	2.650103909
37	2.647781137
38	2.6425319
39	2.636649705
40	2.628187089
41	2.626417806
42	2.622789529
43	2.618984352
44	2.618453767
45	2.606434846
46	2.599867899
47	2.598687575
48	2.593078354
49	2.58241492
50	2.571434746
51	2.56268433
52	2.55559123
53	2.547095952
54	2.541322853
55	2.539617007
56	2.533980651
57	2.528340506
58	2.52229871
59	2.514985079
60	2.508182442
61	2.504563869
62	2.498859715
63	2.488848713
64	2.480773386
65	2.473288235
66	2.467643164
67	2.466131324
68	2.460096762
69	2.455414044
70	2.452477885
71	2.446400292
72	2.441427042
73	2.438733548
74	2.433156882
75	2.42687219
76	2.418138711
77	2.409752172
78	2.400711597
79	2.39620536
80	2.39093491
81	2.383261212
82	2.37907127
83	2.376682097
84	2.367914042
85	2.356389587
86	2.354608109
87	2.349657089
88	2.342444101
89	2.340609758
90	2.331501266
91	2.322305934
92	2.317413924
93	2.31071178
94	2.306135962
95	2.298978738
96	2.290391173
97	2.285348318
98	2.279582614
99	2.272727613
