iter	Passed	Remaining
0	57	5729
1	67	3299
2	76	2476
3	83	2002
4	92	1762
5	98	1536
6	102	1358
7	111	1280
8	118	1193
9	124	1120
10	127	1033
11	129	948
12	131	877
13	132	816
14	139	788
15	148	779
16	153	747
17	163	743
18	169	721
19	179	716
20	184	695
21	187	666
22	198	663
23	203	643
24	212	637
25	214	609
26	215	582
27	222	571
28	228	559
29	232	542
30	240	536
31	245	521
32	246	500
33	257	499
34	261	485
35	265	472
36	272	463
37	277	453
38	282	441
39	290	436
40	295	424
41	299	413
42	309	410
43	313	399
44	315	385
45	323	380
46	328	370
47	330	358
48	338	351
49	343	343
50	349	335
51	357	330
52	362	321
53	363	309
54	367	300
55	376	295
56	379	286
57	383	278
58	417	289
59	443	295
60	476	304
61	495	303
62	505	296
63	514	289
64	526	283
65	534	275
66	543	267
67	552	260
68	558	251
69	563	241
70	572	233
71	579	225
72	588	217
73	595	209
74	606	202
75	613	193
76	619	185
77	627	176
78	636	169
79	642	160
80	646	151
81	656	144
82	660	135
83	669	127
84	677	119
85	686	111
86	690	103
87	694	94
88	700	86
89	707	78
90	713	70
91	719	62
92	725	54
93	732	46
94	737	38
95	746	31
96	757	23
97	765	15
98	772	7
99	778	0
